"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","www.fabrique.social.gouv.fr/51.11.227.220","443","INFO","HTTP","",""
"pre_128cipher","www.fabrique.social.gouv.fr/51.11.227.220","443","INFO","No 128 cipher limit bug","",""
"SSLv2","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","",""
"SSLv3","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","",""
"TLS1","www.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"TLS1_1","www.fabrique.social.gouv.fr/51.11.227.220","443","INFO","is not offered","",""
"TLS1_2","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"TLS1_3","www.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN_HTTP2","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","h2","",""
"ALPN","www.fabrique.social.gouv.fr/51.11.227.220","443","INFO","http/1.1","",""
"cipherlist_NULL","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_LOW","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","www.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","www.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","www.fabrique.social.gouv.fr/51.11.227.220","443","INFO","not offered","",""
"cipherlist_STRONG","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
"cipher_order","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","server","",""
"protocol_negotiated","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","Default protocol TLS1.2","",""
"cipher_negotiated","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","ECDHE-RSA-AES128-GCM-SHA256, 256 bit ECDH (P-256)","",""
"cipherorder_TLSv1_2","www.fabrique.social.gouv.fr/51.11.227.220","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"FS","www.fabrique.social.gouv.fr/51.11.227.220","443","OK","offered","",""
