"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","adresse.data.gouv.fr/146.59.188.210","443","INFO","HTTP","",""
"pre_128cipher","adresse.data.gouv.fr/146.59.188.210","443","INFO","No 128 cipher limit bug","",""
"SSLv2","adresse.data.gouv.fr/146.59.188.210","443","OK","not offered","",""
"SSLv3","adresse.data.gouv.fr/146.59.188.210","443","OK","not offered","",""
"TLS1","adresse.data.gouv.fr/146.59.188.210","443","INFO","not offered","",""
"TLS1_1","adresse.data.gouv.fr/146.59.188.210","443","INFO","not offered","",""
"TLS1_2","adresse.data.gouv.fr/146.59.188.210","443","OK","offered","",""
"TLS1_3","adresse.data.gouv.fr/146.59.188.210","443","OK","offered with final","",""
"ALPN_HTTP2","adresse.data.gouv.fr/146.59.188.210","443","OK","h2","",""
"ALPN","adresse.data.gouv.fr/146.59.188.210","443","INFO","http/1.1","",""
"cipherlist_NULL","adresse.data.gouv.fr/146.59.188.210","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","adresse.data.gouv.fr/146.59.188.210","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","adresse.data.gouv.fr/146.59.188.210","443","OK","not offered","","CWE-327"
"cipherlist_LOW","adresse.data.gouv.fr/146.59.188.210","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","adresse.data.gouv.fr/146.59.188.210","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","adresse.data.gouv.fr/146.59.188.210","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","adresse.data.gouv.fr/146.59.188.210","443","INFO","not offered","",""
"cipherlist_STRONG_FS","adresse.data.gouv.fr/146.59.188.210","443","OK","offered","",""
"cipher_order-tls1_2","adresse.data.gouv.fr/146.59.188.210","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc02c","adresse.data.gouv.fr/146.59.188.210","443","OK","TLSv1.2   xc02c   ECDHE-ECDSA-AES256-GCM-SHA384     ECDH 521   AESGCM      256      TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02b","adresse.data.gouv.fr/146.59.188.210","443","OK","TLSv1.2   xc02b   ECDHE-ECDSA-AES128-GCM-SHA256     ECDH 521   AESGCM      128      TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","adresse.data.gouv.fr/146.59.188.210","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384 ECDHE-ECDSA-AES128-GCM-SHA256","",""
"cipher_order","adresse.data.gouv.fr/146.59.188.210","443","INFO","NOT a cipher order configured","",""
"FS","adresse.data.gouv.fr/146.59.188.210","443","OK","offered","",""
"FS_ciphers","adresse.data.gouv.fr/146.59.188.210","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","adresse.data.gouv.fr/146.59.188.210","443","OK","prime256v1","",""
"TLS_extensions","adresse.data.gouv.fr/146.59.188.210","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'status request/#5' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","adresse.data.gouv.fr/146.59.188.210","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","adresse.data.gouv.fr/146.59.188.210","443","INFO","yes","",""
"sessionresumption_ticket","adresse.data.gouv.fr/146.59.188.210","443","INFO","not supported","",""
"sessionresumption_ID","adresse.data.gouv.fr/146.59.188.210","443","INFO","supported","",""
"TLS_timestamp","adresse.data.gouv.fr/146.59.188.210","443","INFO","random","",""
"certificate_compression","adresse.data.gouv.fr/146.59.188.210","443","INFO","none","",""
"clientAuth","adresse.data.gouv.fr/146.59.188.210","443","INFO","none","",""
"cert_numbers","adresse.data.gouv.fr/146.59.188.210","443","INFO","1","",""
"cert_signatureAlgorithm","adresse.data.gouv.fr/146.59.188.210","443","OK","SHA256 with RSA","",""
"cert_keySize","adresse.data.gouv.fr/146.59.188.210","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","adresse.data.gouv.fr/146.59.188.210","443","INFO","Digital Signature","",""
"cert_extKeyUsage","adresse.data.gouv.fr/146.59.188.210","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","adresse.data.gouv.fr/146.59.188.210","443","INFO","04F3F2559A2ACC7A9065553CF361484CBAB6","",""
"cert_serialNumberLen","adresse.data.gouv.fr/146.59.188.210","443","INFO","18","",""
"cert_fingerprintSHA1","adresse.data.gouv.fr/146.59.188.210","443","INFO","960003CEE89BD6FD9A12EF297DF4BB55EAAABAD4","",""
"cert_fingerprintSHA256","adresse.data.gouv.fr/146.59.188.210","443","INFO","4F0527A9715E366C337B7E81276EBD2AEFA473A839349F1EA231A9EB328EF2C8","",""
"cert","adresse.data.gouv.fr/146.59.188.210","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEfTCCA2WgAwIBAgISBPPyVZoqzHqQZVU882FITLq2MA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMzEyMjIwMTM3MjNaFw0yNDAzMjEwMTM3MjJaMB8xHTAbBgNVBAMTFGFkcmVzc2UuZGF0YS5nb3V2LmZyMFkwEwYHKoZIzj0CAQYIKoZIzj0DAQcDQgAE8n0Q7FEvS9n6FafuPKC5WnJJQIdxhwKEqAzobdqOaz4IwjNC2340Wng6/Dqf+K3u/vGvIaOaKLvEekEiLds9KKOCAmkwggJlMA4GA1UdDwEB/wQEAwIHgDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUVmX4wxRCc/BXZ6+LuzjURD1GJy4wHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wcQYDVR0RBGowaIIUYWRyZXNzZS5kYXRhLmdvdXYuZnKCFWJsb2cuZ2VvLmRhdGEuZ291di5mcoIfcGxhdGVmb3JtZS5hZHJlc3NlLmRhdGEuZ291di5mcoIYd3d3LmFkcmVzc2UuZGF0YS5nb3V2LmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBQYKKwYBBAHWeQIEAgSB9gSB8wDxAHcASLDja9qmRzQP5WoC+p0w6xxSActW3SyB2bu/qznYhHMAAAGMj2J1mAAABAMASDBGAiEAkzI9HLLgR2eMrBczZXWta8XhmgJUzbQhaGZ73UKVgz0CIQCN5LoipcuMC2wRKJa8QArln2Ce+s8hh4k6Xx37TqkJLgB2ACnQOhu2dKpxHNMDW2VXwU+Kp4tP6DiUSeykU/lEvSRoAAABjI9idkQAAAQDAEcwRQIhAPq1yOTx2n1d+sAGorK5W4Bc2yn142Hvnau8/r3/MZpRAiB23HraVLXQSpsoZ3+xyTfyjuba7T5u+DnR4WegcLbatzANBgkqhkiG9w0BAQsFAAOCAQEAC4QcDiLmCB057ui5BgcG//sCj05MnNfnNUr12O3rRMywLhPfL9/PBL0a4NCw6Zv+3zNOiWg8Nnu8O72UXtFhcY4ckaY1X9arzv99iHsN5g+wrv2nsIczycm+2FQj1QZLXp2piPqH46MI3IO6Dq+VyK6599iE0QuGzgC1TmouEQv3CUFcLsBSSGfjvMdpfOMTYF//d/CQ3A5ZMUJrKktCXxuc4iPk/pMF6846m+sWr9mCwUvhxKBk3rJb4lz04G5ahUjY+ETcGHT2LbQwcdR883BjwQ2nDNBhKp4sEvgbCi/q0BKd+Q3MMedRIZBsoUSaRTydvZ9bL6saDqYR1ERFdw==\n-----END CERTIFICATE-----","",""
"cert_commonName","adresse.data.gouv.fr/146.59.188.210","443","OK","adresse.data.gouv.fr","",""
"cert_commonName_wo_SNI","adresse.data.gouv.fr/146.59.188.210","443","INFO","adresse.data.gouv.fr","",""
"cert_subjectAltName","adresse.data.gouv.fr/146.59.188.210","443","INFO","adresse.data.gouv.fr blog.geo.data.gouv.fr plateforme.adresse.data.gouv.fr www.adresse.data.gouv.fr","",""
"cert_trust","adresse.data.gouv.fr/146.59.188.210","443","OK","Ok via SAN and CN (same w/o SNI)","",""
"cert_chain_of_trust","adresse.data.gouv.fr/146.59.188.210","443","OK","passed.","",""
"cert_certificatePolicies_EV","adresse.data.gouv.fr/146.59.188.210","443","INFO","no","",""
"cert_expirationStatus","adresse.data.gouv.fr/146.59.188.210","443","OK","46 >= 30 days","",""
"cert_notBefore","adresse.data.gouv.fr/146.59.188.210","443","INFO","2023-12-22 01:37","",""
"cert_notAfter","adresse.data.gouv.fr/146.59.188.210","443","OK","2024-03-21 01:37","",""
"cert_extlifeSpan","adresse.data.gouv.fr/146.59.188.210","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","adresse.data.gouv.fr/146.59.188.210","443","INFO","not present","",""
"cert_crlDistributionPoints","adresse.data.gouv.fr/146.59.188.210","443","INFO","--","",""
"cert_ocspURL","adresse.data.gouv.fr/146.59.188.210","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","adresse.data.gouv.fr/146.59.188.210","443","OK","offered","",""
"cert_ocspRevoked","adresse.data.gouv.fr/146.59.188.210","443","OK","not revoked","",""
"cert_mustStapleExtension","adresse.data.gouv.fr/146.59.188.210","443","INFO","--","",""
"DNS_CAArecord","adresse.data.gouv.fr/146.59.188.210","443","LOW","--","",""
"certificate_transparency","adresse.data.gouv.fr/146.59.188.210","443","OK","yes (certificate extension)","",""
"certs_countServer","adresse.data.gouv.fr/146.59.188.210","443","INFO","3","",""
"certs_list_ordering_problem","adresse.data.gouv.fr/146.59.188.210","443","INFO","no","",""
"cert_caIssuers","adresse.data.gouv.fr/146.59.188.210","443","INFO","R3 (Let's Encrypt from US)","",""
