"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","beta.gouv.fr/75.2.60.5","443","INFO","HTTP","",""
"pre_128cipher","beta.gouv.fr/75.2.60.5","443","INFO","No 128 cipher limit bug","",""
"SSLv2","beta.gouv.fr/75.2.60.5","443","OK","not offered","",""
"SSLv3","beta.gouv.fr/75.2.60.5","443","OK","not offered","",""
"TLS1","beta.gouv.fr/75.2.60.5","443","INFO","not offered","",""
"TLS1_1","beta.gouv.fr/75.2.60.5","443","INFO","not offered","",""
"TLS1_2","beta.gouv.fr/75.2.60.5","443","OK","offered","",""
"TLS1_3","beta.gouv.fr/75.2.60.5","443","OK","offered with final","",""
"ALPN_HTTP2","beta.gouv.fr/75.2.60.5","443","OK","h2","",""
"ALPN","beta.gouv.fr/75.2.60.5","443","INFO","http/1.1","",""
"cipherlist_NULL","beta.gouv.fr/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","beta.gouv.fr/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","beta.gouv.fr/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_LOW","beta.gouv.fr/75.2.60.5","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","beta.gouv.fr/75.2.60.5","443","INFO","not offered","","CWE-310"
"cipherlist_AVERAGE","beta.gouv.fr/75.2.60.5","443","INFO","not offered","","CWE-310"
"cipherlist_GOOD","beta.gouv.fr/75.2.60.5","443","INFO","not offered","",""
"cipherlist_STRONG","beta.gouv.fr/75.2.60.5","443","OK","offered","",""
"cipher_order","beta.gouv.fr/75.2.60.5","443","OK","server","",""
"protocol_negotiated","beta.gouv.fr/75.2.60.5","443","OK","Default protocol TLS1.3","",""
"cipher_negotiated","beta.gouv.fr/75.2.60.5","443","OK","TLS_AES_256_GCM_SHA384, 253 bit ECDH (X25519)","",""
"cipherorder_TLSv1_2","beta.gouv.fr/75.2.60.5","443","INFO","ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS","beta.gouv.fr/75.2.60.5","443","OK","offered","",""
"FS_ciphers","beta.gouv.fr/75.2.60.5","443","INFO","ECDHE-ECDSA-AES128-GCM-SHA256 ECDHE-ECDSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","beta.gouv.fr/75.2.60.5","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","beta.gouv.fr/75.2.60.5","443","INFO","'server name/#0' 'renegotiation info/#65281' 'key share/#51' 'supported versions/#43' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","beta.gouv.fr/75.2.60.5","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","beta.gouv.fr/75.2.60.5","443","INFO","yes","",""
"sessionresumption_ticket","beta.gouv.fr/75.2.60.5","443","INFO","not supported","",""
"sessionresumption_ID","beta.gouv.fr/75.2.60.5","443","INFO","supported","",""
"TLS_timestamp","beta.gouv.fr/75.2.60.5","443","INFO","random","",""
"certificate_compression","beta.gouv.fr/75.2.60.5","443","INFO","none","",""
"clientAuth","beta.gouv.fr/75.2.60.5","443","INFO","none","",""
"cert_numbers","beta.gouv.fr/75.2.60.5","443","INFO","1","",""
"cert_signatureAlgorithm","beta.gouv.fr/75.2.60.5","443","OK","SHA256 with RSA","",""
"cert_keySize","beta.gouv.fr/75.2.60.5","443","OK","EC 256 bits (curve P-256)","",""
"cert_keyUsage","beta.gouv.fr/75.2.60.5","443","INFO","Digital Signature","",""
"cert_extKeyUsage","beta.gouv.fr/75.2.60.5","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","beta.gouv.fr/75.2.60.5","443","INFO","03E4439825438ADAEF20057ABC3CAD60A85B","",""
"cert_fingerprintSHA1","beta.gouv.fr/75.2.60.5","443","INFO","F3E3956A50C9438ACACB79ECD22E2B49091559F5","",""
"cert_fingerprintSHA256","beta.gouv.fr/75.2.60.5","443","INFO","6DECB856D12583C8550A299C8A4EBFD5AA96CA6108B6797F42DC9BF11C826DF3","",""
