"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","collectivite.fr/51.159.10.161","443","INFO","HTTP","",""
"pre_128cipher","collectivite.fr/51.159.10.161","443","INFO","No 128 cipher limit bug","",""
"SSLv2","collectivite.fr/51.159.10.161","443","OK","not offered","",""
"SSLv3","collectivite.fr/51.159.10.161","443","OK","not offered","",""
"TLS1","collectivite.fr/51.159.10.161","443","INFO","not offered","",""
"TLS1_1","collectivite.fr/51.159.10.161","443","INFO","not offered","",""
"TLS1_2","collectivite.fr/51.159.10.161","443","OK","offered","",""
"TLS1_3","collectivite.fr/51.159.10.161","443","OK","offered with final","",""
"ALPN_HTTP2","collectivite.fr/51.159.10.161","443","OK","h2","",""
"ALPN","collectivite.fr/51.159.10.161","443","INFO","http/1.1","",""
"cipherlist_NULL","collectivite.fr/51.159.10.161","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","collectivite.fr/51.159.10.161","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","collectivite.fr/51.159.10.161","443","OK","not offered","","CWE-327"
"cipherlist_LOW","collectivite.fr/51.159.10.161","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","collectivite.fr/51.159.10.161","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","collectivite.fr/51.159.10.161","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","collectivite.fr/51.159.10.161","443","OK","offered","",""
"cipherlist_STRONG_FS","collectivite.fr/51.159.10.161","443","OK","offered","",""
"cipher_order-tls1_2","collectivite.fr/51.159.10.161","443","OK","server","",""
"cipherorder_TLSv1_2","collectivite.fr/51.159.10.161","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","collectivite.fr/51.159.10.161","443","OK","server","",""
"FS","collectivite.fr/51.159.10.161","443","OK","offered","",""
"FS_ciphers","collectivite.fr/51.159.10.161","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-SHA256 DHE-RSA-AES128-SHA DHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-SHA256 DHE-RSA-AES256-SHA DHE-RSA-CAMELLIA128-SHA256 DHE-RSA-CAMELLIA128-SHA DHE-RSA-CAMELLIA256-SHA256 DHE-RSA-CAMELLIA256-SHA ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-AES256-SHA ECDHE-RSA-CAMELLIA128-SHA256 ECDHE-RSA-CAMELLIA256-SHA384","",""
"FS_ECDHE_curves","collectivite.fr/51.159.10.161","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","collectivite.fr/51.159.10.161","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'encrypt-then-mac/#22' 'extended master secret/#23'","",""
"TLS_session_ticket","collectivite.fr/51.159.10.161","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","collectivite.fr/51.159.10.161","443","INFO","yes","",""
"sessionresumption_ticket","collectivite.fr/51.159.10.161","443","INFO","not supported","",""
"sessionresumption_ID","collectivite.fr/51.159.10.161","443","INFO","not supported","",""
"TLS_timestamp","collectivite.fr/51.159.10.161","443","INFO","random","",""
"certificate_compression","collectivite.fr/51.159.10.161","443","INFO","none","",""
"clientAuth","collectivite.fr/51.159.10.161","443","INFO","none","",""
"cert_numbers","collectivite.fr/51.159.10.161","443","INFO","1","",""
"cert_signatureAlgorithm","collectivite.fr/51.159.10.161","443","OK","SHA256 with RSA","",""
"cert_keySize","collectivite.fr/51.159.10.161","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","collectivite.fr/51.159.10.161","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","collectivite.fr/51.159.10.161","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","collectivite.fr/51.159.10.161","443","INFO","03DCF94D9B2776F09DE3B5A6F90537B03B5D","",""
"cert_serialNumberLen","collectivite.fr/51.159.10.161","443","INFO","18","",""
"cert_fingerprintSHA1","collectivite.fr/51.159.10.161","443","INFO","2DDCD9D71482E2B0354ABD817A6A555A5450D9E5","",""
"cert_fingerprintSHA256","collectivite.fr/51.159.10.161","443","INFO","F7524F79A5F1D55D146EA65BB8E89704FD40F495693B1F67D87DB9BE9541BFF9","",""
"cert","collectivite.fr/51.159.10.161","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE7TCCA9WgAwIBAgISA9z5TZsndvCd47Wm+QU3sDtdMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDAzMTUwMzA1MjVaFw0yNDA2MTMwMzA1MjRaMBoxGDAWBgNVBAMTD2NvbGxlY3Rpdml0ZS5mcjCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBANOn5Md5+uFYmtkHdu0HM5Js0PGFkO5xj0dx6AXhU64OWKQ/UOhz/7gMcRQak0YaVMmRvRRPNkmkXPrxasOPoQGrk2jP4kXxWeKuFKTpo2dXXjVuM5nBGJrLgLSR6WgBFVSDk83myiQ4mF3uP5A59LOQTshxH3mx1e906jbtdVqOBmiLbj7PTHoDpDPAbvkWwvQhnLwdWPSydkfZa9RpLNWklSEvt1jOnKyIFDNd7fzW0/8M6i45a3DH8H16oSq8ZXGHLsCJzhiln22bUuFoBXFfWKQkgQmzx8ORzt+35ndxkspKhoweranN1tCIQ4t4bgtzB2g2NIkvXMG8G6kksKsCAwEAAaOCAhMwggIPMA4GA1UdDwEB/wQEAwIFoDAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwDAYDVR0TAQH/BAIwADAdBgNVHQ4EFgQUF4PhigkZL3ZjfaSg6e50jNh4NDYwHwYDVR0jBBgwFoAUFC6zF7dYVsuuUAlA5h+vnYsUwsYwVQYIKwYBBQUHAQEESTBHMCEGCCsGAQUFBzABhhVodHRwOi8vcjMuby5sZW5jci5vcmcwIgYIKwYBBQUHMAKGFmh0dHA6Ly9yMy5pLmxlbmNyLm9yZy8wGgYDVR0RBBMwEYIPY29sbGVjdGl2aXRlLmZyMBMGA1UdIAQMMAowCAYGZ4EMAQIBMIIBBgYKKwYBBAHWeQIEAgSB9wSB9ADyAHcASLDja9qmRzQP5WoC+p0w6xxSActW3SyB2bu/qznYhHMAAAGOQEk8TwAABAMASDBGAiEAqI5LXqWjaKKlU9/7KVrTUigotTgCmeFAeX9WXjTxQGUCIQCKRDsNTjtrt6tt8y/N452st1WrxIrAcxkMg1z4Q3o5vwB3AKLiv9Ye3i8vB6DWTm03p9xlQ7DGtS6i2reK+Jpt9RfYAAABjkBJPC4AAAQDAEgwRgIhAJDEEhrksdoGCQsPVI8YH1J88WbfXeM1ZiknX4eQ0MatAiEA5QgobK3h6aGru6Ue4WqkKsmLVM3TkHYjvsKFHoU3dqgwDQYJKoZIhvcNAQELBQADggEBAChesYvrA71GA9c03l8LJazYTzZCzEdcopEMak/VxTAj42jj9gw9XQr8Bs+pLLwrkgqZxZu9RYUIn+pyQL+Ffn6wticPilqQDv6z2GKH3tzHjkiRBF3kGzRR11twE2SDVNSp5/X7BNEtDnWxZlmlXyxprJ7L2c/ce76WrKIgEq04KzR29BS6S58G48ykFI4kbygIZbmxArBO+9tHLCYMBhcdQAvnetQdl1T87mXIDhylJyYmdPmMW+VWNJMrwEb2LoyZAQTm3t7v49HHSgKj0z+zoB4WGy3XYBaVX7BuoW6Oa2Jgx/mNTryMW4V/ObatYm4MfZwvPumnEipnu5ATzEw=\n-----END CERTIFICATE-----","",""
"cert_commonName","collectivite.fr/51.159.10.161","443","OK","collectivite.fr","",""
"cert_commonName_wo_SNI","collectivite.fr/51.159.10.161","443","INFO","haproxy.gateway","",""
"cert_subjectAltName","collectivite.fr/51.159.10.161","443","INFO","collectivite.fr","",""
"cert_trust","collectivite.fr/51.159.10.161","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","collectivite.fr/51.159.10.161","443","OK","passed.","",""
"cert_certificatePolicies_EV","collectivite.fr/51.159.10.161","443","INFO","no","",""
"cert_expirationStatus","collectivite.fr/51.159.10.161","443","OK","88 >= 30 days","",""
"cert_notBefore","collectivite.fr/51.159.10.161","443","INFO","2024-03-15 03:05","",""
"cert_notAfter","collectivite.fr/51.159.10.161","443","OK","2024-06-13 03:05","",""
"cert_extlifeSpan","collectivite.fr/51.159.10.161","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","collectivite.fr/51.159.10.161","443","INFO","not present","",""
"cert_crlDistributionPoints","collectivite.fr/51.159.10.161","443","INFO","--","",""
"cert_ocspURL","collectivite.fr/51.159.10.161","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","collectivite.fr/51.159.10.161","443","LOW","not offered","",""
"cert_mustStapleExtension","collectivite.fr/51.159.10.161","443","INFO","--","",""
"DNS_CAArecord","collectivite.fr/51.159.10.161","443","LOW","--","",""
"certificate_transparency","collectivite.fr/51.159.10.161","443","OK","yes (certificate extension)","",""
"certs_countServer","collectivite.fr/51.159.10.161","443","INFO","2","",""
"certs_list_ordering_problem","collectivite.fr/51.159.10.161","443","INFO","no","",""
"cert_caIssuers","collectivite.fr/51.159.10.161","443","INFO","R3 (Let's Encrypt from US)","",""
"intermediate_cert <#1>","collectivite.fr/51.159.10.161","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFFjCCAv6gAwIBAgIRAJErCErPDBinU/bWLiWnX1owDQYJKoZIhvcNAQELBQAwTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwHhcNMjAwOTA0MDAwMDAwWhcNMjUwOTE1MTYwMDAwWjAyMQswCQYDVQQGEwJVUzEWMBQGA1UEChMNTGV0J3MgRW5jcnlwdDELMAkGA1UEAxMCUjMwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC7AhUozPaglNMPEuyNVZLD+ILxmaZ6QoinXSaqtSu5xUyxr45r+XXIo9cPR5QUVTVXjJ6oojkZ9YI8QqlObvU7wy7bjcCwXPNZOOftz2nwWgsbvsCUJCWH+jdxsxPnHKzhm+/b5DtFUkWWqcFTzjTIUu61ru2P3mBw4qVUq7ZtDpelQDRrK9O8ZutmNHz6a4uPVymZ+DAXXbpyb/uBxa3Shlg9F8fnCbvxK/eG3MHacV3URuPMrSXBiLxgZ3Vms/EY96Jc5lP/Ooi2R6X/ExjqmAl3P51T+c8B5fWmcBcUr2Ok/5mzk53cU6cG/kiFHaFpriV1uxPMUgP17VGhi9sVAgMBAAGjggEIMIIBBDAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0lBBYwFAYIKwYBBQUHAwIGCCsGAQUFBwMBMBIGA1UdEwEB/wQIMAYBAf8CAQAwHQYDVR0OBBYEFBQusxe3WFbLrlAJQOYfr52LFMLGMB8GA1UdIwQYMBaAFHm0WeZ7tuXkAXOACIjIGlj26ZtuMDIGCCsGAQUFBwEBBCYwJDAiBggrBgEFBQcwAoYWaHR0cDovL3gxLmkubGVuY3Iub3JnLzAnBgNVHR8EIDAeMBygGqAYhhZodHRwOi8veDEuYy5sZW5jci5vcmcvMCIGA1UdIAQbMBkwCAYGZ4EMAQIBMA0GCysGAQQBgt8TAQEBMA0GCSqGSIb3DQEBCwUAA4ICAQCFyk5HPqP3hUSFvNVneLKYY611TR6WPTNlclQtgaDqw+34IL9fzLdwALduO/ZelN7kIJ+m74uyA+eitRY8kc607TkC53wlikfmZW4/RvTZ8M6UK+5UzhK8jCdLuMGYL6KvzXGRSgi3yLgjewQtCPkIVz6D2QQzCkcheAmCJ8MqyJu5zlzyZMjAvnnAT45tRAxekrsu94sQ4egdRCnbWSDtY7kh+BImlJNXoB1lBMEKIq4QDUOXoRgffuDghje1WrG9ML+Hbisq/yFOGwXD9RiX8F6sw6W4avAuvDszue5L3sz85K+EC4Y/wFVDNvZo4TYXao6Z0f+lQKc0t8DQYzk1OXVu8rp2yJMC6alLbBfODALZvYH7n7do1AZls4I9d1P4jnkDrQoxB3UqQ9hVl3LEKQ73xF1OyK5GhDDX8oVfGKF5u+decIsH4YaTw7mP3GFxJSqv3+0lUFJoi5Lc5da149p90IdshCExroL1+7mryIkXPeFM5TgO9r0rvZaBFOvV2z0gp35Z0+L4WPlbuEjN/lxPFin+HlUjr8gRsI3qfJOQFy/9rKIJR0Y/8Omwt/8oTWgy1mdeHmmjk7j1nYsvC9JSQ6ZvMldlTTKB3zhThV1+XWYp6rjd5JW1zbVWEkLNxE7GJThEUG3szgBVGP7pSWTUTsqXnLRbwHOoq7hHwg==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","collectivite.fr/51.159.10.161","443","INFO","67ADD1166B020AE61B8F5FC96813C04C2AA589960796865572A3C7E737613DFD","",""
"intermediate_cert_notBefore <#1>","collectivite.fr/51.159.10.161","443","INFO","2020-09-04 00:00","",""
"intermediate_cert_notAfter <#1>","collectivite.fr/51.159.10.161","443","OK","2025-09-15 16:00","",""
"intermediate_cert_expiration <#1>","collectivite.fr/51.159.10.161","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","collectivite.fr/51.159.10.161","443","INFO","R3 <-- ISRG Root X1","",""
"intermediate_cert_badOCSP","collectivite.fr/51.159.10.161","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","collectivite.fr/51.159.10.161","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","collectivite.fr/51.159.10.161","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","collectivite.fr/51.159.10.161","443","INFO","1710635666","",""
"HSTS_time","collectivite.fr/51.159.10.161","443","OK","365 days (=31536000 seconds) > 15552000 seconds","",""
"HSTS_subdomains","collectivite.fr/51.159.10.161","443","INFO","only for this domain","",""
"HSTS_preload","collectivite.fr/51.159.10.161","443","INFO","domain is NOT marked for preloading","",""
"HPKP","collectivite.fr/51.159.10.161","443","INFO","No support for HTTP Public Key Pinning","",""
