"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","HTTP","",""
"pre_128cipher","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","No 128 cipher limit bug","",""
"SSLv2","solutionsdelus.gouv.fr/51.159.9.204","443","OK","not offered","",""
"SSLv3","solutionsdelus.gouv.fr/51.159.9.204","443","OK","not offered","",""
"TLS1","solutionsdelus.gouv.fr/51.159.9.204","443","LOW","offered (deprecated)","",""
"TLS1_1","solutionsdelus.gouv.fr/51.159.9.204","443","LOW","offered (deprecated)","",""
"TLS1_2","solutionsdelus.gouv.fr/51.159.9.204","443","OK","offered","",""
"TLS1_3","solutionsdelus.gouv.fr/51.159.9.204","443","OK","offered with final","",""
"ALPN_HTTP2","solutionsdelus.gouv.fr/51.159.9.204","443","OK","h2","",""
"ALPN","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","http/1.1","",""
"cipherlist_NULL","solutionsdelus.gouv.fr/51.159.9.204","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","solutionsdelus.gouv.fr/51.159.9.204","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","solutionsdelus.gouv.fr/51.159.9.204","443","OK","not offered","","CWE-327"
"cipherlist_LOW","solutionsdelus.gouv.fr/51.159.9.204","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","solutionsdelus.gouv.fr/51.159.9.204","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","solutionsdelus.gouv.fr/51.159.9.204","443","OK","offered","",""
"cipherlist_STRONG_FS","solutionsdelus.gouv.fr/51.159.9.204","443","OK","offered","",""
"cipher_order-tls1","solutionsdelus.gouv.fr/51.159.9.204","443","OK","server","",""
"cipherorder_TLSv1","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","solutionsdelus.gouv.fr/51.159.9.204","443","OK","server","",""
"cipherorder_TLSv1_1","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","solutionsdelus.gouv.fr/51.159.9.204","443","OK","server","",""
"cipherorder_TLSv1_2","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","solutionsdelus.gouv.fr/51.159.9.204","443","OK","server -- TLS 1.3 client determined","",""
"FS","solutionsdelus.gouv.fr/51.159.9.204","443","OK","offered","",""
"FS_ciphers","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","solutionsdelus.gouv.fr/51.159.9.204","443","OK","prime256v1","",""
"TLS_extensions","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","yes","",""
"sessionresumption_ticket","solutionsdelus.gouv.fr/51.159.9.204","443","INFO","not supported","",""
